,model
241,Beech Baron
242,Beech Baron 95-B55
243,Beech C-18S
244,Beech C-45H
245,Beech C18S
246,Beech D18AS
247,Beech D18S
248,Beech E18S
249,Beech G18S
250,Beech King Air 200 Catpass
251,Beech King Air 65-A90
252,Beech King Air B100
253,Beech King Air B90
254,Beech King Air F90
255,Beech Queen Air 65-A80
256,Beech Queen Air A80
257,Beech Queen Air B80
258,Beech Queen Air Model 80
259,Beech Super King Air 200
260,Beech Super King Air 200/DHC6-Twin Otter
261,BeechJet 400
262,Beechcraft  C-45H
263,Beechcraft 18
264,Beechcraft 18H
265,Beechcraft 1900-C / Beech King Air A90
266,Beechcraft 1900C
267,Beechcraft 1900C-1
268,Beechcraft 1900D
269,Beechcraft 1900D / Cessna 177
270,Beechcraft 35-B33 Debonair
271,Beechcraft 58
272,Beechcraft 58TC
273,Beechcraft 65-80
274,Beechcraft 65-B80
275,Beechcraft 95
276,Beechcraft 95-55
277,Beechcraft 95-55B
278,Beechcraft 95-B55
279,Beechcraft 99
280,Beechcraft 99A
281,Beechcraft A36
282,Beechcraft B-100
283,Beechcraft B-35
284,Beechcraft B-99
285,Beechcraft B90
286,Beechcraft B95A
287,Beechcraft B99
288,Beechcraft BE-99-C99
289,Beechcraft Bonanza 35
290,Beechcraft Bonanza F35
291,Beechcraft C-45H
292,Beechcraft C-90
293,Beechcraft C35
294,Beechcraft C45G
295,Beechcraft C90
296,Beechcraft C99
297,Beechcraft C99 / Rockwell 112TC
298,Beechcraft D 18S
299,Beechcraft D18
300,Beechcraft D18S
301,Beechcraft D35
302,Beechcraft D50A
303,Beechcraft D55
304,Beechcraft E18S
305,Beechcraft G18S
306,Beechcraft G35
307,Beechcraft H18
308,Beechcraft H18S
309,Beechcraft H50
310,Beechcraft J-35
311,Beechcraft King Air A100
312,Beechcraft King Air B200
313,Beechcraft King Air B90
314,Beechcraft King Air C90
315,Beechcraft King Air C90A
316,Beechcraft King Air C90B
317,Beechcraft King Air E-90
318,Beechcraft N35
319,Beechcraft S35
320,Beechcraft SKA 200
321,Beechcraft Super King Air 200
322,Beechcraft Super King Air B200
323,Beechcraft TC-45J
324,Beechcraft U206C
325,Bell 204B helicopter
326,Bell 205 A-1 helicopter
327,Bell 205-1
328,Bell 205A
329,Bell 205A-1 helicopter
330,Bell 206
331,Bell 206 L-1
332,Bell 206-L4 Jet Ranger III
333,Bell 206A
334,Bell 206B
335,Bell 206B JetRanger
336,Bell 206B helicopter
337,Bell 206B3
338,Bell 206L
339,Bell 206L-3
340,Bell 206L-4
341,Bell 212
342,Bell 214 ST
343,Bell 214ST helicopter
344,Bell 222
345,Bell 296B
346,Bell 407
347,Bell 407 / Bell 407
348,Bell 412
349,Bell 412 (helicopter)
350,Bell 47G-2
351,Bell 47G2A1 / Cessna 150H
352,Bell 47G3B1
353,Bell 47J-2
354,Bell 47J-2A
355,Bell 74G
356,Bell BHT-206-B Helicopter
357,Bell Huey UH-1H
358,Bell UH-1B / Sikorsky CH53A helicopters
359,Bell UH-1B Huey Helicopter
360,Bell UH-1D / Bell UH1D (helicopters)
361,Bell UH-1H
362,Bell UH-1H / Bell UH-1H
363,Bell UH-1H / Bell UH-1H (helicopter)
364,Bell UH-1H / Bell UH-1H (helicopters)
365,Bell UH-1H / Bell UH-1H / Bell UH-1H
366,Bell UH-1N
367,Bell UN-1N Huey
368,Bellanca 17-30
369,Bernard 192
370,Black Hawk helicopter
371,Blackburn B-2
372,Blackburn Beverley C Mark 1
373,Bleriot 155
374,Bleriot Spad 27
375,Bleriot Spad 56
376,Bloch 220
377,Blériot Spad 46
378,Blériot Spad 66
379,Boeing  377 Stratocruiser
380,Boeing - 377-10-29 Stratocruiser
381,Boeing - EC-135K
382,Boeing - EC-135N
383,Boeing 221
384,Boeing 247
385,Boeing 247-D
386,Boeing 247B
387,Boeing 247D
388,Boeing 307 Stratoliner
389,Boeing 307 Stratoliner B-1
390,Boeing 307B-1 Stratoliner
391,Boeing 377 Stratocruiser
392,Boeing 377 Stratocruiser 10-26
393,Boeing 377 Stratocruiser 10-30
394,Boeing 377 Stratocruiser 10-34
395,Boeing 377-10-26 Stratocruiser
396,Boeing 40
397,Boeing 707-123
398,Boeing 707-321C
399,Boeing 707-321CF
400,Boeing 707-323C
401,Boeing 707-324C
402,Boeing 707-327C
403,Boeing 707-328C
404,Boeing 707-329C
405,Boeing 707-331C
406,Boeing 707-336C
407,Boeing 707-351C
408,Boeing 707-360C
409,Boeing 707-373
410,Boeing 707-373C
411,Boeing 720-030B
412,Boeing 727-21
413,Boeing 727-23F
414,Boeing 727-243F
415,Boeing 727-24C
416,Boeing 727-286
417,Boeing 737-200
418,Boeing 737-230
419,Boeing 737-286
420,Boeing 737-2A1C
421,Boeing 737-2B7
422,Boeing 737-2D6C
423,Boeing 737-2J8C
424,Boeing 737-2M2
425,Boeing 737-2R4C
426,Boeing 737-31S
427,Boeing 737-4Q8
428,Boeing 737-8F2
429,Boeing 747-244B-SF
430,Boeing 747-246F
431,Boeing 747-249F
432,Boeing 747-2B5F
433,Boeing 767-223ER
434,Boeing 777-236ER
435,Boeing 95
436,Boeing B-17F / Boeing B-17F
437,Boeing B-17G
438,Boeing B-17G / Boeing B-17G
439,Boeing B-247-D
440,Boeing B-29
441,Boeing B-29 / Boeing B-29
442,Boeing B-29 Superfortress
443,Boeing B-29A Superfortress
444,Boeing B-29MR
445,Boeing B-314 (flying boat)
446,Boeing B-34
447,Boeing B-377 Stratofreighter
448,Boeing B-50
449,Boeing B-52 / Boeing B-52
450,Boeing B-707 (E-3B)
451,Boeing B-707-121
452,Boeing B-707-121B
453,Boeing B-707-123B
454,Boeing B-707-124
455,Boeing B-707-131
456,Boeing B-707-131B / L1049C Constellation
457,Boeing B-707-138B
458,Boeing B-707-309C
459,Boeing B-707-31
460,Boeing B-707-320
461,Boeing B-707-320F
462,Boeing B-707-321B
463,Boeing B-707-321C
464,Boeing B-707-323 / Cessna 150
465,Boeing B-707-323B
466,Boeing B-707-323C
467,Boeing B-707-328
468,Boeing B-707-328B
469,Boeing B-707-328C
470,Boeing B-707-331
471,Boeing B-707-331B
472,Boeing B-707-338C
473,Boeing B-707-340C
