,model
1017,Curtiss Carrier Pigeon
1018,Curtiss Condor 18
1019,Curtiss Condor T-32
1020,Curtiss JN-4H
1021,Curtiss R-4LM
1022,Curtiss Wright C-46F
1023,Curtiss seaplane
1024,Curtiss-Wright C-14 Osprey
1025,Curtiss-Wright C-46
1026,Curtiss-Wright C-46A-CK
1027,Curtiss-Wright C-46D-CU
1028,Curtiss-Wright C-46F-CU
1029,Curtiss-Wright C46D-CU
1030,Curtiss-Wright Hawk
1031,Curtiss-Wright R5C-1
1032,DC-2-243
1033,DC-3-65TP
1034,DHC-5 Buffalo
1035,DHC-6 Twin Otter 300 / NAMC YS-11
1036,Dassault Breguet Atlantique
1037,Dassault Falcon 20
1038,Dassault Falcon 20C
1039,Dassault Falcon 20E
1040,Dassault Falcon 50
1041,Dassault Falcon 900B
1042,Dassault-Breguet Atlantique
1043,De Havilland D-84
1044,De Havilland DH-104 Dove
1045,De Havilland DH-4
1046,De Havilland DH-60
1047,De Havilland DH-61
1048,De Havilland DH-80
1049,De Havilland DH-84
1050,De Havilland DH-85
1051,De Havilland DH-86
1052,De Havilland DH.4
1053,De Havilland DH.80
1054,De Havilland Dash-3
1055,De Havilland Dash-6
1056,De Havilland Dove
1057,Desoutter II
1058,Dewoitine D-332
1059,Dewoitine D-338
1060,Dewoitine D-342
1061,Dirigible
1062,Dirigible Roma (airship)
1063,Dirigible ZR-1 Shenandoah (airship)
1064,Domier Delphin III
1065,Dormier Do-J-Iif Bos Wal
1066,Dornier 228
1067,Dornier 228-201
1068,Dornier 228-212
1069,Dornier 328-110
1070,Dornier DO-228-212
1071,Dornier DO.18
1072,Dornier Do-228-101
1073,Dornier Do-228-212
1074,Dornier Do-288-201
1075,Dornier Merkur
1076,Dornier Wal
1077,Douglas C- C47A-30DK
1078,Douglas C-118A
1079,Douglas C-118A / Lockheed P2V-5F
1080,Douglas C-124A Globemaster
1081,Douglas C-124A Globemaster II
1082,Douglas C-124A-DL
1083,Douglas C-124C
1084,Douglas C-124C / Fairchild C-119C
1085,Douglas C-124C Globemaster
1086,Douglas C-133A
1087,Douglas C-39-DO  (DC-2)
1088,Douglas C-46A-CU ( DC-3)
1089,Douglas C-47
1090,Douglas C-47 (DC-3)
1091,Douglas C-47 / Douglas DC-3
1092,Douglas C-47 Dakota
1093,Douglas C-47 Dakota-DK
1094,Douglas C-47 Skytrain
1095,Douglas C-47-DK
1096,Douglas C-47-DL
1097,Douglas C-47A
1098,Douglas C-47A Dakota
1099,Douglas C-47A-1
1100,Douglas C-47A-1-DK
1101,Douglas C-47A-10-DK
1102,Douglas C-47A-15-DK
1103,Douglas C-47A-20-DL
1104,Douglas C-47A-25
1105,Douglas C-47A-25-DK
1106,Douglas C-47A-30
1107,Douglas C-47A-30-DK
1108,Douglas C-47A-30-DK (DC-3C)
1109,Douglas C-47A-30-DK Dakota III
1110,Douglas C-47A-35-DL
1111,Douglas C-47A-5-DK
1112,Douglas C-47A-50-DL
1113,Douglas C-47A-60-DL
1114,Douglas C-47A-80-DL
1115,Douglas C-47A-90 DL (DC-3)
1116,Douglas C-47A-90-DL
1117,Douglas C-47A-DK
1118,Douglas C-47A-DL
1119,Douglas C-47B
1120,Douglas C-47B-15-DK
1121,Douglas C-47B-25-DK
1122,Douglas C-47B-40-DK
1123,Douglas C-47B-5-DK
1124,Douglas C-47B-DK
1125,Douglas C-47B-dK
1126,Douglas C-47D
1127,Douglas C-47DL
1128,Douglas C-47J
1129,Douglas C-49E
1130,Douglas C-53
1131,Douglas C-53-DO (DC-3A)
1132,Douglas C-53D-DO
1133,Douglas C-53D-DO (DC-3)
1134,Douglas C-54
1135,Douglas C-54 Skymaster
1136,Douglas C-54-DO (DC-4)
1137,Douglas C-54A
1138,Douglas C-54A-1-DO
1139,Douglas C-54A-1-DO Skymaster
1140,Douglas C-54A-10-DC
1141,Douglas C-54A-DC
1142,Douglas C-54A-DC (DC-4)
1143,Douglas C-54A-DO
1144,Douglas C-54A-DO (DC-4)
1145,Douglas C-54B
1146,Douglas C-54B / P-38
1147,Douglas C-54B-1-DC
1148,Douglas C-54B-10-DO
1149,Douglas C-54B-15-DO
1150,Douglas C-54B-5-DO
1151,Douglas C-54D
1152,Douglas C-54D-1-DC
1153,Douglas C-54D-DC (DC-4)
1154,Douglas C-54E
1155,Douglas C-54E-5-DO
1156,Douglas C-54E-DO (DC-4)
1157,Douglas C-54G
1158,Douglas C-54G (DC-4)
1159,Douglas C-54P
1160,Douglas C-74
1161,Douglas C124-DL Globemaster II
1162,Douglas C188-B
1163,Douglas C54A
1164,Douglas C54E-DO (DC-4)
1165,Douglas DC 3-A-SB-3-G-14
1166,Douglas DC-118
1167,Douglas DC-2
1168,Douglas DC-2-112
1169,Douglas DC-2-115A
1170,Douglas DC-2-115B
1171,Douglas DC-2-115E
1172,Douglas DC-2-115H
1173,Douglas DC-2-115L
1174,Douglas DC-2-120
1175,Douglas DC-2-172
1176,Douglas DC-2-221
1177,Douglas DC-2-243
1178,Douglas DC-3
1179,Douglas DC-3 ( C-47-DO)
1180,Douglas DC-3 ( C-53D-DO)
1181,Douglas DC-3 (C-47)
1182,Douglas DC-3 (C-47-A5-DL)
1183,Douglas DC-3 (C-47-B-1-DK)
1184,Douglas DC-3 (C-47-DL)
1185,Douglas DC-3 (C-47A-30-DK)
1186,Douglas DC-3 (C-47A-70-DL)
1187,Douglas DC-3 (C-47A-90-DL)
1188,Douglas DC-3 (C-47A-DK)
1189,Douglas DC-3 (C-47A-DL)
1190,Douglas DC-3 (C-47B-DK)
1191,Douglas DC-3 (C-47DL)
1192,Douglas DC-3 (C-47DL) /Vultee BT-13
1193,Douglas DC-3 (C-50A-DO)
1194,Douglas DC-3 (C-53-DO)
1195,Douglas DC-3 (C-53D-DO)
1196,Douglas DC-3 (C-54A-DO)
1197,Douglas DC-3 (C47-DL)
1198,Douglas DC-3 (Douglas C-47A-10-DK)
1199,Douglas DC-3 -201D/ F-6-F- 5 Hellcat
1200,Douglas DC-3 / Avro Anson
1201,Douglas DC-3 / Boeing B-34
1202,Douglas DC-3 / Cessna 170B
1203,Douglas DC-3 / Douglas DC-3
1204,Douglas DC-3 / Piper PA-18A
1205,Douglas DC-3 / USN R-6D-1
1206,Douglas DC-3 Dakota
1207,Douglas DC-3(C-47A-DL)
1208,Douglas DC-3-178
1209,Douglas DC-3-194H
1210,Douglas DC-3-201C /  Army A-26
1211,Douglas DC-3-201E
1212,Douglas DC-3-201F
1213,Douglas DC-3-227B
1214,Douglas DC-3-3
1215,Douglas DC-3-313
1216,Douglas DC-3-313A
1217,Douglas DC-3-3A
1218,Douglas DC-3-455
1219,Douglas DC-3-A-269
1220,Douglas DC-3-DST
1221,Douglas DC-3A
1222,Douglas DC-3A-178
1223,Douglas DC-3A-197D
1224,Douglas DC-3A-228D
1225,Douglas DC-3C
1226,Douglas DC-3C (C-47A-DK)
1227,Douglas DC-3C (C47A-DL)
1228,Douglas DC-3D
1229,Douglas DC-3F
1230,Douglas DC-4
1231,Douglas DC-4  (C-54-10-DO)
1232,Douglas DC-4 (C-54)
1233,Douglas DC-4 (C-54-DO)
1234,Douglas DC-4 (C-54A-DO)
1235,Douglas DC-4 (C-54G-1-DO)
1236,Douglas DC-4 / USAF F-4E
1237,Douglas DC-4 /Beechcraft SMB-1
1238,Douglas DC-4-1009
1239,Douglas DC-47
1240,Douglas DC-4A
1241,Douglas DC-6
1242,Douglas DC-6 / RAF York MW248
1243,Douglas DC-6-54B
1244,Douglas DC-6A
1245,Douglas DC-6AB
1246,Douglas DC-6B
1247,Douglas DC-6BF
1248,Douglas DC-7
1249,Douglas DC-7 / F-100F
1250,Douglas DC-7 / Lockheed S Constellation
1251,Douglas DC-7-C
1252,Douglas DC-7B
1253,Douglas DC-7B / U.S. Air Force F-89J
1254,Douglas DC-7BF
1255,Douglas DC-7C
1256,Douglas DC-7CF
1257,Douglas DC-8
1258,Douglas DC-8-43F
1259,Douglas DC-8-51
1260,Douglas DC-8-52
1261,Douglas DC-8-54F
1262,Douglas DC-8-55F
1263,Douglas DC-9-15F
1264,Douglas DC-9-31 /Cessna 206
1265,Douglas DC-C-54A
1266,Douglas DC3-G102
1267,Douglas DC6B
1268,Douglas DC9-15F
1269,Douglas DF-151
1270,Douglas DST-A-207A
1271,Douglas EC-54U
1272,Douglas M-3
1273,Douglas M-4
1274,Douglas MC-54M
1275,Douglas R4D-6
1276,Douglas R5D-3
1277,Douglas R5D2
1278,Douglas R6D-1 (C-118B)
1279,EC-121H (Super Constellation)
1280,EMB 721C Sertanejo
1281,EMB 810C Seneca
1282,EMB 820C Navajo
1283,Embraer 110 Bandeirante
1284,Embraer 110 P1 Bandeirante
1285,Embraer 110C Bandeirante
1286,Embraer 110EJ Band./Embraer 110P Band.
1287,Embraer 110P Bandeirante
1288,Embraer 110P1 Bandeirante
1289,Embraer 110P1A Bandeirante
1290,Embraer 110P2 Bandeirante
1291,Embraer 120 Brasilia
1292,Embraer 120-RT Brasilia
1293,Embraer 120ER Brasilia
1294,Embraer 120RT Brasilia
1295,Embraer 120RT- Brasilia
1296,Embraer 721C Sertanejo
1297,Embraer 820C Navajo
1298,Embraer C-95 Bandeirante
1299,Embraer C-95C Bandeirante
1300,Embraer EMB-110 Bandeirante
1301,Embraer EMB-110P1 Bandeirant
1302,Embraer EMB-120 Brasilia
1303,Embraer-110 C-95B Bandeirante
1304,Enstrom F-28F
1305,Eurocopter  AS332L2 Super Puma
1306,Eurocopter AS 332L2 Super Puma 2
1307,Eurocopter AS-350-BA
1308,Eurocopter AS-350BA
1309,Eurocopter AS350D Astar
1310,Eurocopter Deutschland BK117C1
1311,Evangel 4500
1312,F-4C Phantom jet fighter
1313,F-86 Sabrejet
1314,F-88 Sabre Jet
1315,FIAT G-212CP
1316,Fairchild
1317,Fairchild 51
1318,Fairchild 71
1319,Fairchild C-110F
1320,Fairchild C-119
1321,Fairchild C-119C
1322,Fairchild C-119C-23-FA Flying Boxcar
1323,Fairchild C-119G
1324,Fairchild C-119G / Fairchild C-119
1325,Fairchild C-123
1326,Fairchild C-123 Provider
1327,Fairchild C-123B
1328,Fairchild C-123C
1329,Fairchild C-123K
1330,Fairchild C-199G
1331,Fairchild C-82
1332,Fairchild C-82 Packet
1333,Fairchild C-82A
1334,Fairchild C119G / Fairchild C119G
1335,Fairchild C123K
1336,Fairchild F-27
1337,Fairchild F-27 / Cessna 310
1338,Fairchild F-27A
1339,Fairchild F-27B
1340,Fairchild F-27J
1341,Fairchild F-27M
1342,Fairchild FC-2
1343,Fairchild FC-2W
1344,Fairchild FH-227B
1345,Fairchild FH-227E
1346,Fairchild FH-227H
1347,Fairchild Hiller FH-227B
1348,Fairchild Hiller FH1100
1349,Fairchild Pilgrim 100A
1350,Fairchild R4Q / Dougas AD-6 skyraider
1351,Fairchild R4Q-2
1352,Fairchild SA227-TT
1353,Fairchild-Hiller FH-227-B
1354,Fairchild-Hiller FH-227B
1355,Fairchild-Hiller FH-227B-LCD
1356,Fairchild-Hiller FH-227D/LCD
1357,Fairchild-Hiller FH227C
1358,Fairey Firefly MK1
1359,Farman 190
1360,Farman F-121 Jabiru
1361,Farman F-190
1362,Farman F-224
1363,Farman F-300
1364,Farman F-301
1365,Farman F-306
1366,Farman F-60 Goliath
1367,Farman F-63
1368,Faucett F-19
1369,Fiat G.212CP
1370,Five Grumman TBM Avengers
1371,Focke-Wulf A-17
1372,Focke-Wulf FW 200
1373,Fokker (KLM)  F.III
1374,Fokker (KLM) F.III
1375,Fokker 100
1376,Fokker 27 Friendship 200
1377,Fokker 28 Fellowship 1000
1378,Fokker 50
1379,Fokker F-10
1380,Fokker F-10A
1381,Fokker F-12
1382,Fokker F-27 Friendship 100
1383,Fokker F-27 Friendship 200
1384,Fokker F-27 Friendship 300
1385,Fokker F-27 Friendship 400
1386,Fokker F-27 Friendship 400M
1387,Fokker F-27 Friendship 500
1388,Fokker F-27 Friendship 500F
1389,Fokker F-27 Friendship 600
1390,Fokker F-27 Friendship 600RF
1391,Fokker F-28 Fellowship 1000
1392,Fokker F-28 Fellowship 1000 / MiG-21
1393,Fokker F-28 Fellowship 2000
1394,Fokker F-28 Fellowship 3000
1395,Fokker F-28 Fellowship 3000RC
1396,Fokker F-28 Fellowship 4000
1397,Fokker F-4
1398,Fokker F-50
1399,Fokker F-III
1400,Fokker F-VII
1401,Fokker F-VIIA
1402,Fokker F-VIIB
1403,Fokker F-VIII
1404,Fokker F-VIIb-3M
1405,Fokker F-X
1406,Fokker F-XII
1407,Fokker F-XXII
1408,Fokker F.III
1409,Fokker F10A Trimotor
1410,Fokker F27 Friendship 100
1411,Fokker FG II
1412,Fokker FG III
1413,Fokker Super Universal
1414,Fokker Universal
1415,Fokker Universal F-14
1416,Ford 4
1417,Ford 4-AT-B Tri Motor
1418,Ford 4-AT-E Tri-motor
1419,Ford 5
1420,Ford 5-AT Tri-Motor
1421,Ford 5-AT-B Tri Motor
1422,Ford 5-AT-B Tri-Motor
1423,Ford 5-AT-B Tri-Motor / B-PW-9D
1424,Ford 5-AT-C Tri Motor
1425,Ford 5-AT-C Tri-Motor
1426,Ford 5-AT-D
1427,Ford 5-AT-D Tri-Motor
1428,Ford Tri-Motor
1429,Ford Tri-Motor / Ford Tri-Motor
1430,Ford Tri-Motor 5
1431,Ford Tri-motor
1432,Ford Tri-motor 5
1433,Ford model 4-AT-E
1434,GAF Nomad 22B
1435,GAF Nomad N-22
1436,GAF Nomad N-22B
1437,GAF Nomad N-22C
1438,GAF Nomad N-24A
1439,GAF Nomad N24A
1440,GD F-16D / Lockheed C-130E
1441,Gates Lear 25
1442,Gates Learjet 23
1443,Gates Learjet 24B
1444,Gates Learjet 25
1445,Gates Learjet 25B
1446,Gates Learjet 25D
1447,Gates Learjet 35
1448,Gates Learjet 35A
1449,Gates Learjet 45
1450,General 102-E
1451,General Aviation GA-43
1452,Goodyear ZPG-3W (airship)
1453,Goodyear-Zeppelin U.S.S. Akron (airship)
1454,Grumman C-2A
1455,Grumman G-159 Gulfstream I
1456,Grumman G-21
1457,Grumman G-21 Goose
1458,Grumman G-21A
1459,Grumman G-21A Goose
1460,Grumman G-21A seaplane
1461,Grumman G-44A
1462,Grumman G-73T Turbo Mallard
1463,Grumman G73T Turbo Mallard
1464,Grumman Gulfstream G3
1465,Grumman Gulfstream II
1466,Grummand EA-6B
1467,Grummand Gulfstream III
1468,Gulfstream AC-680F
1469,H-21B
1470,HAL-748-224
1471,HAL-748-224 Srs.2
1472,HBB HFB-320 Hansa Jet
1473,HS-125-700B
1474,Hadley Page 137Jetstream I / Cessna 206
1475,Hamilton H-47
1476,Handley Page Dart Herald 201
1477,Handley Page Dart Herald 202
1478,Handley Page Dart Herald 207
1479,Handley Page Dart Herald 400
1480,Handley Page HP-1 Hermes
1481,Handley Page HP-16
1482,Handley Page HP-42
1483,Handley Page HP-57 Halifax
1484,Handley Page HP-81 Hermes 4A
1485,Handley Page HP-81 Hermes IV
1486,Handley Page HPR-7 Herald 101
1487,Handley Page HPR-7 Herald 211
1488,Handley Page HPR-7 Herald 214
1489,Handley Page Halifax C-8
1490,Handley Page Hastings C Mark 1
1491,Handley Page Hastings C-2
1492,Handley Page Jetstream 1
1493,Handley Page O/10
1494,Handley Page W-10
1495,Handley Page W-8
1496,Harbin Yunshuji Y-12 II
1497,Harbin Yunshuji Y-12-II
1498,Hawker 800A
1499,Hawker Siddeley  Avro 748-215
1500,Hawker Siddeley HS 125-400B (3)
1501,Hawker Siddeley HS 748-260
1502,Hawker Siddeley HS-121 Trident 2E
1503,Hawker Siddeley HS-125
1504,Hawker Siddeley HS-125-403B
1505,Hawker Siddeley HS-748
1506,Hawker Siddeley HS-748 1
1507,Hawker Siddeley HS-748 2
1508,Hawker Siddeley HS-748 2A
1509,Hawker Siddeley HS-748-1
1510,Hawker Siddeley HS-748-2
1511,Hawker Siddeley HS-748-209
1512,Hawker Siddeley HS-748-209 Srs. 2
1513,Hawker Siddeley HS-748-215-2
1514,Hawker Siddeley HS-748-230 Srs. 2A
1515,Hawker Siddeley HS-748-234
1516,Hawker Siddeley HS-748-234 Srs. 2A
1517,Hawker Siddeley HS-748-235 Srs. 2A
1518,Hawker Siddeley HS-748-246
1519,Hawker Siddeley HS-748-2A
1520,Hawker Siddeley HS-748-329 Srs. 2A
1521,Hawker Siddeley HS-748-353 Srs.2a
1522,Hawker Siddeley HS-748-357/2B SCD
1523,Hawker Siddeley HS-748-372
1524,Hawker Siddeley HS-748-435 Srs. 2
1525,Hawker Siddeley HS-748-501 Super 2B
1526,Hawker Siddeley HS-748-FAA
1527,Hawker Siddeley Trident 1C
1528,Hawker Siddeley Trident 2E
1529,Hawker Siddeley Trident 2E /  II-28
1530,Hawker-Siddeley DH-125-1A/522
1531,Heinkel 116
1532,Heinkel HE-2
1533,Heinkel He-111
1534,Heinkel He-111V2
1535,Heinkel He-70
1536,'Helicopter, Hughes 369HS'
1537,Helo 295
1538,Hiller FH1100
1539,Hindustan Aeronautics 748 2-224
1540,Hindustan Aeronautics 748-2
1541,Hindustan Aeronautics 748-2M
1542,Howard 250
1543,Hughes 269B
1544,Hughes 369D
1545,Hughes 369HS
1546,IAI 1124 Westwind
1547,IAI 1124A Westwind
1548,IAI Arava 201
1549,IPTN 332C Super Puma
1550,Illyushin 76
1551,Ilushin Il-76TD
1552,Iluyshin Il-86
1553,Ilysushin Il-76TD
1554,Ilyushin 114T
1555,Ilyushin 14
1556,Ilyushin 18V
1557,Ilyushin 76MD
1558,Ilyushin 76TD
1559,Ilyushin II-14P
1560,Ilyushin II-76
1561,Ilyushin II-76TD
1562,Ilyushin IL- 76TD
1563,Ilyushin IL-12
1564,Ilyushin IL-12B
1565,Ilyushin IL-14
1566,Ilyushin IL-14P
1567,Ilyushin IL-18
1568,Ilyushin IL-18B
1569,Ilyushin IL-18D
1570,Ilyushin IL-18E
1571,Ilyushin IL-18L
1572,Ilyushin IL-18V
1573,Ilyushin IL-38 / Ilyushin IL-38
1574,Ilyushin IL-62
1575,Ilyushin IL-62M
1576,Ilyushin IL-62MK
1577,Ilyushin IL-76
1578,Ilyushin IL-76 / Mi-8 (helicopter)
1579,Ilyushin IL-76M
1580,Ilyushin IL-76MD
1581,Ilyushin IL-76T
1582,Ilyushin IL-76TD
1583,Ilyushin Il-14
1584,Ilyushin Il-76MD
1585,Ilyushin Il-76T
1586,Ilyushin P-14
1587,Israel Aircraft Industries 1124A
1588,Junkers 52/3m
1589,Junkers F-13
1590,Junkers G-23
1591,Junkers G-24
1592,Junkers G-31
1593,Junkers G24
1594,Junkers JL-6
1595,Junkers JU-160
1596,Junkers JU-5/-3m
1597,Junkers JU-52
1598,Junkers JU-52/3m
1599,Junkers JU-52/3mge
1600,Junkers JU-53/3m
1601,Junkers JU-86
1602,Junkers JU-90
1603,Junkers JU.52
1604,Junkers JU52/3m
1605,Junkers JU86 Z-2
1606,Junkers JU90V2
1607,Junkers Ju-52
1608,Junkers Ju-52/3m
1609,Junkers W-33
1610,Junkers W-34
1611,KB-50
1612,KJ-2000
1613,Kaiser-Fraser C-119G
1614,Kalinin K-4
1615,Kalinin K-7
1616,Kawasaki C-1 / Kawasaki C-1
1617,Kawasaki C-1A
1618,Koolhoven FK.43
1619,L-100-20
1620,LET  410M Turbojet
1621,LET 410 M
1622,LET 410M turbojet
1623,LET 410MT Turbojet
1624,LET 410UVP
1625,LET 410UVP-E
1626,LTVF-8J
1627,Lasco Lascowl
1628,Latecoere 25
1629,Latecoere 25-3-R
1630,Latecoere 26
1631,Latecoere 28
1632,Latecoere 28-1
1633,Latecoere 32
1634,Latecoere 631
1635,Latecoere 631 (flying boat)
1636,Latecoere 631 (sea plane)
1637,Latécoère 23
1638,Latécoère 28
1639,Latécoère 28-1
1640,Latécoère 300
1641,LeT 410UVP Turbojet / Tupolev TU-134V
1642,Lear Jet 24A
1643,Learjet 23
1644,Learjet 23A
1645,Learjet 24
1646,Learjet 24A
1647,Learjet 24D
1648,Learjet 24F
1649,Learjet 24XR
1650,Learjet 25
1651,Learjet 25B
1652,Learjet 25C
1653,Learjet 25D
1654,Learjet 31
1655,Learjet 35
1656,Learjet 35A
1657,Learjet 36A
1658,Learjet 45
1659,Learjet 55
1660,Learjet 60
1661,Learjet C-21A
1662,Learjet35A
1663,Let 410
1664,Let 410 UVP-E10A
1665,Let 410 UVP-E3
1666,Let 410A
1667,Let 410M
1668,Let 410MU
1669,Let 410UVP
1670,Let 410UVP Turolet
1671,Let 410UVP-E
1672,Let 410UVP-E20
1673,Let 410UVP-E4
1674,Let 420UVP-E
1675,Let L-410UVP
1676,Let L410UVP-E20
1677,Let-410UVP-E
1678,Liore et Olivier 190
1679,Liore et Olivier H-246 Air Boat
1680,Liore-et-Olivier 213
1681,Lioré-et-Olivier H-13
1682,Lioré-et-Olivier H-242
1683,Lisunov Li-2
1684,Lockheed  188A Electra
1685,Lockheed 049 Consellation
1686,Lockheed 049 Constellation
1687,Lockheed 049-46-21 Constellation
1688,Lockheed 049-46-25 Constellation
1689,Lockheed 10 Electra
1690,Lockheed 1011-200 TriStar
1691,Lockheed 1049C Super Constellation
1692,Lockheed 1049C-55-81 S Constellation
1693,Lockheed 1049E Super Constellation
1694,Lockheed 1049E-55 Super Constellation
1695,Lockheed 1049G Super Constellation
1696,Lockheed 1049G-55 Super Constellation
1697,Lockheed 1049H Super Constellation
1698,Lockheed 1049H-82 Super Constellation
1699,Lockheed 10A Electra
1700,Lockheed 10B Electra
1701,Lockheed 10C Electra
1702,Lockheed 10E Electra
1703,Lockheed 12A
1704,Lockheed 1329 Jetstar 8
1705,Lockheed 1339
1706,Lockheed 14 Electra
1707,Lockheed 14 Super Electra
1708,Lockheed 14-H Super Electra
1709,Lockheed 14-H2 Super Electra
1710,Lockheed 14-WF62 Super Electra
1711,Lockheed 14H Super Electra
1712,Lockheed 1649A Starliner
1713,Lockheed 18 Loadstar
1714,Lockheed 18 LodeStar
1715,Lockheed 18 Lodestar
1716,Lockheed 18-56 LodeStar
1717,Lockheed 18-56 Lodestar
1718,Lockheed 188A Electra
1719,Lockheed 188C  Electra
1720,Lockheed 188C Electra
1721,Lockheed 188PF Electra
1722,Lockheed 749 Constellation
1723,Lockheed 749-79-33 Constellation
1724,Lockheed 749-79-34 Constellation
1725,Lockheed 749A Constellation
1726,Lockheed 749A-79 Constellation
1727,Lockheed 749A-79-32 Constellation
1728,Lockheed 749A-79-33 Constellation
1729,Lockheed 749C-79-12 Constellation
1730,Lockheed AC-130A Hercules
1731,Lockheed C-121C Super Constellation
1732,Lockheed C-130
1733,Lockheed C-130 Hercules
1734,Lockheed C-130A
1735,Lockheed C-130A Hercules
1736,Lockheed C-130A-II Hercules
1737,Lockheed C-130B
1738,Lockheed C-130B Hercules
1739,Lockheed C-130E
1740,Lockheed C-130E Hercules
1741,Lockheed C-130E-I Hercules
1742,Lockheed C-130H
1743,Lockheed C-130H Hercules
1744,Lockheed C-130H-30
1745,Lockheed C-130HF
1746,Lockheed C-130K Hercules
1747,Lockheed C-141A
1748,Lockheed C-141A (L.300)
1749,Lockheed C-141B
1750,Lockheed C-141B / Lockheed C141B
1751,Lockheed C-28
1752,Lockheed C-5A
1753,Lockheed C-5A Galaxy
1754,Lockheed C-60 Lodestar
1755,Lockheed C-69 Constellation
1756,Lockheed C121J
1757,Lockheed C130B
1758,Lockheed C130D
1759,Lockheed CC-130E
1760,Lockheed CC-130E Hercules
1761,Lockheed EC-121H
1762,Lockheed EC-121M
1763,Lockheed EC-121P
1764,Lockheed EC-130E Hercules
1765,Lockheed EC-130Q
1766,Lockheed EC121R
1767,Lockheed HC-130H Hercules
1768,Lockheed HC-130P Hercules
1769,Lockheed Hercules C-130
1770,Lockheed Hercules C.1
1771,Lockheed Hercules KC-130R
1772,Lockheed Hercules MC-130H
1773,Lockheed Hudson
1774,Lockheed Hudson A16-97
1775,Lockheed Hudson VI
1776,Lockheed KC-130F
1777,Lockheed L- 749A Constellation
1778,Lockheed L-049 Constellation
1779,Lockheed L-049-46 Constellation
1780,Lockheed L-049-46-26 Constellation
1781,Lockheed L-100 Hercules
1782,Lockheed L-100-20 Hercules
1783,Lockheed L-100-30 Hercules
1784,Lockheed L-1011
1785,Lockheed L-1011 TriStar1
1786,Lockheed L-1011-1 TriStar
1787,Lockheed L-1011-100
1788,Lockheed L-1011-200
1789,Lockheed L-1049H Super Constellation
1790,Lockheed L-1649A Starliner
1791,Lockheed L-18-56 Lodestar
1792,Lockheed L-188A Electra
1793,Lockheed L-188AF Electra
1794,Lockheed L-188C Electra
1795,Lockheed L-188CF Electra
1796,Lockheed L-382B Hercules
1797,Lockheed L-649 Constellation
1798,Lockheed L-749 / Cessna 140
1799,Lockheed L-749-79-33 Constellation
1800,Lockheed L-749A Constellation
1801,Lockheed L-749A-79 Constellation
1802,Lockheed L188A Electra
1803,Lockheed MC-130E-Y
1804,Lockheed MC-130H Hercules
1805,Lockheed Martin L-100-10
1806,Lockheed Martin L-100-30 Hercules
1807,Lockheed Orion
1808,Lockheed Orion 9
1809,Lockheed Orion 9D
1810,Lockheed Orion 9E Explorer float plane
1811,Lockheed P-3A
1812,Lockheed P-3A Orion
1813,Lockheed P-3B Orion
1814,Lockheed P-3C / Convair CV-990-30A-5
1815,Lockheed P-3C / Lockheed P-3C
1816,Lockheed P-3C Orion /Convair CV-990
1817,Lockheed P2V-7
1818,Lockheed R-7V1
1819,Lockheed R7V-1
1820,Lockheed Super Constellation
1821,Lockheed Vega
1822,Lockheed Vega 2
1823,Lockheed Vega 5
1824,Lockheed Vega 5B
1825,Lockheed Vega 5C
1826,Lockheed WC-130H Hercules
1827,Lockheed WV-2
1828,Lockheed WV-2 Super Constellation
1829,Loening C-2C
1830,Loening C-W Air Yaht
1831,MBB HFB-320 Hansa Jet
1832,MD DC-8-11 / Lockheed  1049 S Const
1833,MD Douglas DC-9-15 / Beechcraft Baron-55
1834,MD Douglas DC-9-31/Piper Cherokee PA-28
1835,MD Douglas DC-9-32 / Piper PA-28-181
1836,MD Douglas DC-9-32/Convair CV-990A
1837,MD-87 / Cessna 525A Citation II
1838,MDonnell Dougals DC-9
1839,MDonnell Douglas 369FF Rotocraft
1840,MDonnell Douglas DC-9-32
1841,MDonnell Douglas MD-81
1842,MH-47 Chinook helicopter
1843,Macchi C-94
1844,Martin 202
1845,Martin 202A / DC-3
1846,Martin 404
1847,Martin M-130 (flying boat)
1848,Martin Mariner
1849,Martin PBM-3S  / Martin PBM-5
1850,McDonnel F-4E Phantom II
1851,McDonnell DC-9-32
1852,McDonnell Douglas 369D
1853,McDonnell Douglas DC-10-10
1854,McDonnell Douglas DC-10-30
1855,McDonnell Douglas DC-10-30CF
1856,McDonnell Douglas DC-8
1857,McDonnell Douglas DC-8 Super 61
1858,McDonnell Douglas DC-8 Super 62
1859,McDonnell Douglas DC-8 Super 63PF
1860,McDonnell Douglas DC-8-12
1861,McDonnell Douglas DC-8-21
1862,McDonnell Douglas DC-8-33
1863,McDonnell Douglas DC-8-43
1864,McDonnell Douglas DC-8-51
1865,McDonnell Douglas DC-8-52
1866,McDonnell Douglas DC-8-53
1867,McDonnell Douglas DC-8-54F37
1868,McDonnell Douglas DC-8-55F
1869,McDonnell Douglas DC-8-61
1870,McDonnell Douglas DC-8-61F
1871,McDonnell Douglas DC-8-62
1872,McDonnell Douglas DC-8-62H
1873,McDonnell Douglas DC-8-63
1874,McDonnell Douglas DC-8-63AF
1875,McDonnell Douglas DC-8-63CF
1876,McDonnell Douglas DC-8-63F
1877,McDonnell Douglas DC-8-71F
1878,McDonnell Douglas DC-8-Super 63CF
1879,McDonnell Douglas DC-8F-54F
1880,McDonnell Douglas DC-8F-55
